update,environment_steps,episodes_completed,success_rate,evaluation_success_rate,evaluation_mean_minimum_distance,actor_loss,critic_loss,entropy,elapsed_seconds
74,75776,9,0.0,nan,nan,-0.002471280429745093,0.7519169077277184,3.2385972812771797,15.20772258299985
75,76800,8,0.0,0.0,0.0077693161400025235,-0.012769904133165255,0.30895890411920846,3.239227067679167,15.627702749989112
76,77824,9,0.0,nan,nan,-0.01288772227417212,0.12849474046379328,3.229036755859852,15.7952443749964
77,78848,9,0.3333333333333333,nan,nan,-0.008867779051797697,4.749925866723061,3.2212970219552517,15.962212416998227
78,79872,10,0.1,nan,nan,-0.007733245947747491,1.391675111837685,3.223651733249426,16.129386542001157
79,80896,9,0.1111111111111111,nan,nan,-0.016054665720730554,1.5801896017510444,3.2185859978199005,16.296534666995285
80,81920,8,0.0,0.0,0.0142208921100555,-0.008575524596381001,0.1387217080919072,3.20672170817852,16.71366899998975
81,82944,9,0.0,nan,nan,-0.010530300249229185,0.12259819253813475,3.1865480951964855,16.88041387499834
82,83968,8,0.0,nan,nan,-0.010680705105187371,0.5781363626010716,3.168563771992922,17.052202166989446
83,84992,9,0.0,nan,nan,-0.010943246408714913,0.09538566356059164,3.154906041920185,17.220524082993506
84,86016,9,0.1111111111111111,nan,nan,-0.0062324412720045075,1.8941620958503336,3.14053612947464,17.38883620798879
85,87040,9,0.0,0.0,0.010508342897034466,-0.00944845293997787,1.2150739915668964,3.136293902993202,17.808854541988694
86,88064,8,0.25,nan,nan,-0.00041931385203497484,3.765775064006448,3.1285773664712906,17.97657795799023
87,89088,9,0.0,nan,nan,-0.006467298502684571,0.2523238805588335,3.1215114891529083,18.144794916996034
88,90112,9,0.0,nan,nan,-0.011626350024016574,0.08728124486515298,3.1074810437858105,18.312739457993302
89,91136,8,0.125,nan,nan,-0.009039949291036464,1.9442623525392264,3.0887951105833054,18.480838874995243
90,92160,9,0.0,0.0,0.0114436400366523,-0.012608962621015962,0.09655647550243884,3.079500861465931,18.90125633298885
91,93184,8,0.0,nan,nan,-0.01343519552028738,0.07276234752498567,3.055876076221466,19.07332995798788
92,94208,9,0.1111111111111111,nan,nan,-0.01398505162796937,2.872538092546165,3.033274073153734,19.241384832988842
93,95232,9,0.0,nan,nan,-0.011522868247993756,2.1865089051425457,3.0224315710365772,19.409168291997048
94,96256,8,0.0,nan,nan,-0.011300358557491563,0.2985935832839459,3.017466675490141,19.577456250000978
95,97280,9,0.1111111111111111,0.0,0.008212571331479618,-0.008140435151290148,2.124438484199345,3.0108993276953697,19.99682670799666
96,98304,9,0.1111111111111111,nan,nan,-0.005289793698466383,2.8382511995732784,3.003352791070938,20.164228249996086
97,99328,8,0.125,nan,nan,-0.01029117638245225,2.1300643789581954,3.0038415491580963,20.331654041990987
98,100352,9,0.1111111111111111,nan,nan,-0.013626466781715862,1.7542816190980375,3.000192105770111,20.50029949999589
99,101376,9,0.1111111111111111,nan,nan,-0.005746168957557529,2.894052129238844,2.9938108921051025,20.66746549999516
100,102400,9,0.0,0.0,0.00959037161007674,-0.006133153743576258,1.959562387317419,2.9949410893023014,21.08708516698971
